label_num,label,target,prediction,prob_TS,prob_ST,ABS_VAD
0,what 's your name ?,"elena , but my friends call me yo-yo .",my name .,-6.457920551300049,-17.998077392578125,0.003809523809523809
0,what 's your name ?,"elena , but my friends call me yo-yo .",all right .,-6.605518817901611,-29.975366592407227,0.03691428571428572
0,what 's your name ?,"elena , but my friends call me yo-yo .",i do n't know .,-6.686669826507568,-32.55447006225586,0.03954761904761905
0,what 's your name ?,"elena , but my friends call me yo-yo .","oh , my god .",-6.767956733703613,-77.51640319824219,0.016476190476190474
0,what 's your name ?,"elena , but my friends call me yo-yo .",maybe .,-6.977804183959961,-24.570846557617188,0.0
0,what 's your name ?,"elena , but my friends call me yo-yo .",i 'm sorry .,-7.4775471687316895,-14.769319534301758,0.02616666666666667
0,what 's your name ?,"elena , but my friends call me yo-yo .",what 's wrong ?,-7.691850662231445,-32.10245895385742,0.026952380952380957
0,what 's your name ?,"elena , but my friends call me yo-yo .",what 's going on ?,-7.948652267456055,-69.9920654296875,0.01671428571428572
0,what 's your name ?,"elena , but my friends call me yo-yo .",what 's wrong with you ?,-8.195714950561523,-25.231197357177734,0.026952380952380957
0,what 's your name ?,"elena , but my friends call me yo-yo .",my name is zigzag .,-8.43781566619873,-74.27666473388672,0.026238095238095234
0,what 's your name ?,"elena , but my friends call me yo-yo .","oh , my gosh .",-8.445348739624023,-35.88819122314453,0.0
0,what 's your name ?,"elena , but my friends call me yo-yo .",my name 's .,-8.494312286376953,-16.586307525634766,0.003809523809523809
0,what 's your name ?,"elena , but my friends call me yo-yo .",it 's my name .,-8.761760711669922,-56.6220817565918,0.003809523809523809
0,what 's your name ?,"elena , but my friends call me yo-yo .","oh , my name .",-8.773645401000977,-26.668701171875,0.003809523809523809
0,what 's your name ?,"elena , but my friends call me yo-yo .","hey , hey .",-8.78996467590332,-48.77910614013672,0.0
0,what 's your name ?,"elena , but my friends call me yo-yo .",my name is sherlock holmes .,-8.817217826843262,-13.78252124786377,0.023609523809523816
0,what 's your name ?,"elena , but my friends call me yo-yo .",that 's my friend .,-9.07685661315918,-29.183086395263672,0.02090476190476191
0,what 's your name ?,"elena , but my friends call me yo-yo .","oh , my friend .",-9.136503219604492,-48.295867919921875,0.02090476190476191
